Kanji,StrokeCount,MeaningOne,MeaningTwo,MeaningThree,MeaningFour,MeaningFive,MeaningSix,MeaningSeven,MeaningEight,MeaningNine,MeaningTen
哀,9,pathetic,grief,sorrow,pathos,pity,sympathize,,,,
愛,13,love,affection,favourite,,,,,,,
挨,10,approach,draw,push,,,,,,,
姶,9,good-looking,quiet,,,,,,,,
逢,10,meeting,tryst,date,rendezvous,,,,,,
葵,12,hollyhock,,,,,,,,,
茜,9,madder,red,Turkey,,,,,,,
穐,16,autumn,,,,,,,,,
悪,11,bad,vice,rascal,false,evil,wrong,,,,
握,12,grip,hold,mould,bribe,,,,,,
渥,12,kindness,moisten,,,,,,,,
旭,6,rising,morning,,,,,,,,
葦,13,reed,bullrush,,,,,,,,
芦,7,reed,bullrush,,,,,,,,
鯵,19,horse,,,,,,,,,
梓,11,catalpa,woodblock,,,,,,,,
圧,5,pressure,push,overwhelm,oppress,dominate,,,,,
斡,14,go,rule,administer,,,,,,,
扱,6,handle,entertain,thresh,strip,,,,,,
宛,8,address,just,fortunately,,,,,,,
姐,8,elder,maidservant,,,,,,,,
虻,9,gadfly,horsefly,,,,,,,,
飴,13,rice,candy,,,,,,,,
絢,12,brilliant,,,,,,,,,
綾,14,design,figured,twill,,,,,,,
鮎,16,freshwater,smelt,,,,,,,,
或,8,some,one,or,possibly,a,,,,,
粟,12,millet,,,,,,,,,
袷,11,lined,,,,,,,,,
安,6,relax,cheap,low,quiet,rested,contented,peaceful,,,
庵,11,hermitage,retreat,,,,,,,,
按,9,hold,consider,investigate,,,,,,,
暗,13,darkness,disappear,shade,informal,grow,be,,,,
案,10,plan,suggestion,draft,ponder,fear,proposition,idea,expectation,worry,table
闇,17,get,gloom,disorder,,,,,,,
鞍,15,saddle,,,,,,,,,
杏,7,apricot,,,,,,,,,
以,5,by,because,in,compared,,,,,,
伊,6,Italy,that,,,,,,,,
位,7,rank,grade,throne,crown,about,some,,,,
依,8,reliant,depend,consequently,therefore,due,,,,,
偉,12,admirable,greatness,remarkable,conceited,famous,excellent,,,,
囲,7,surround,besiege,store,paling,enclosure,encircle,preserve,keep,,
夷,6,barbarian,savage,Ainu,,,,,,,
委,8,committee,entrust,leave,devote,discard,,,,,
威,9,intimidate,dignity,majesty,menace,threaten,,,,,
尉,11,military,jailer,old,rank,,,,,,
惟,11,consider,reflect,think,,,,,,,
意,13,idea,mind,heart,taste,thought,desire,care,liking,,
慰,15,consolation,amusement,seduce,cheer,make,comfort,console,,,
易,8,easy,ready,simple,fortune-telling,divination,,,,,
椅,12,chair,,,,,,,,,
為,9,do,change,make,benefit,welfare,be,reach,try,practice,cost
畏,9,fear,majestic,graciously,be,,,,,,
異,11,uncommon,different,queerness,strangeness,wonderful,curious,unusual,,,
移,11,shift,move,change,drift,catch,fire),pass,,,
維,14,fiber,tie,rope,,,,,,,
緯,16,horizontal,woof,left,(parallels,prediction,,,,,
胃,9,stomach,paunch,crop,craw,,,,,,
萎,11,wither,droop,lame,,,,,,,
衣,6,garment,clothes,dressing,,,,,,,
謂,16,reason,origin,history,oral,,,,,,
違,13,difference,differ,,,,,,,,
遺,15,bequeath,leave,reserve,,,,,,,
医,7,doctor,medicine,,,,,,,,
井,4,well,well,town,community,,,,,,
亥,6,sign,9-11PM,twelfth,,,,,,,
域,11,range,region,limits,stage,level,,,,,
育,8,bring,grow,raise,rear,,,,,,
郁,9,cultural,perfume,,,,,,,,
磯,17,seashore,beach,,,,,,,,
一,1,one,one,,,,,,,,
壱,7,one,,,,,,,,,
溢,13,overflow,inundate,spill,,,,,,,
逸,11,deviate,idleness,leisure,miss,evade,elude,parry,diverge,,
稲,14,rice,,,,,,,,,
茨,9,briar,thorn,,,,,,,,
芋,6,potato,,,,,,,,,
鰯,21,sardine,(kokuji),,,,,,,,
允,4,license,sincerity,permit,,,,,,,
印,6,stamp,seal,mark,imprint,symbol,emblem,trademark,evidence,souvenir,India
咽,9,throat,choked,smothered,stuffy,,,,,,
員,10,employee,member,number,the,,,,,,
因,6,cause,factor,be,depend,be,,,,,
姻,9,matrimony,marry,,,,,,,,
引,4,pull,tug,jerk,admit,install,quote,refer,,,
飲,12,drink,smoke,take,,,,,,,
淫,11,lewdness,licentiousness,,,,,,,,
胤,9,descendent,issue,offspring,,,,,,,
蔭,14,shade,shadow,backing,,,,,,,
陰,11,shade,yin,negative,sex,secret,shadow,,,,
隠,14,conceal,hide,cover,,,,,,,
韻,19,rhyme,elegance,tone,,,,,,,
吋,6,inch,,,,,,,,,
右,5,right,,,,,,,,,
宇,6,eaves,roof,house,heaven,,,,,,
烏,10,crow,raven,,,,,,,,
羽,6,feathers,counter,rabbits,,,,,,,
迂,6,roundabout,,,,,,,,,
雨,8,rain,,,,,,,,,
卯,5,sign,fourth,5-7AM,east,,,,,,
鵜,18,cormorant,,,,,,,,,
窺,16,lie,spy,reconnoiter,,,,,,,
丑,4,sign,1-3AM,second,,,,,,,
碓,13,pestle,,,,,,,,,
臼,6,mortar,,,,,,,,,
渦,12,whirlpool,eddy,vortex,,,,,,,
嘘,14,lie,falsehood,,,,,,,,
唄,10,song,ballad,,,,,,,,
欝,26,gloom,depression,melancholy,,,,,,,
蔚,14,dense,,,,,,,,,
鰻,22,eel,,,,,,,,,
姥,9,old,,,,,,,,,
厩,12,barn,stable,,,,,,,,
浦,10,bay,creek,inlet,gulf,beach,seacoast,,,,
瓜,6,melon,,,,,,,,,
閏,12,intercalation,illegitimate,,,,,,,,
噂,15,rumor,gossip,hearsay,,,,,,,
云,4,say,,,,,,,,,
運,12,carry,luck,destiny,fate,lot,transport,progress,advance,,
雲,12,cloud,,,,,,,,,
荏,9,bean,perilla,herb,soft,pliable,,,,,
餌,14,food,bait,prey,tempting,,,,,,
叡,16,intelligence,imperial,,,,,,,,
営,12,occupation,camp,perform,build,conduct,,,,,
嬰,17,sharp,baby,,,,,,,,
影,15,shadow,silhouette,phantom,,,,,,,
映,9,reflect,reflection,projection,,,,,,,
曳,6,pull,tug,jerk,admit,install,quote,refer,,,
栄,9,flourish,prosperity,honor,glory,splendor,,,,,
永,5,eternity,long,lengthy,,,,,,,
泳,8,swim,,,,,,,,,
洩,9,leak,escape,,,,,,,,
瑛,12,sparkle,crystal,,,,,,,,
盈,9,fullness,enough,pride,satisfy,,,,,,
穎,16,heads,cleverness,,,,,,,,
頴,16,heads,cleverness,,,,,,,,
英,8,England,English,hero,outstanding,calyx,,,,,
衛,16,defense,protection,,,,,,,,
詠,12,recitation,poem,song,composing,,,,,,
鋭,15,pointed,sharpness,edge,weapon,sharp,violent,,,,
液,11,fluid,liquid,juice,sap,secretion,,,,,
疫,9,epidemic,,,,,,,,,
益,10,benefit,gain,profit,advantage,,,,,,
駅,14,station,,,,,,,,,
悦,10,ecstasy,joy,rapture,,,,,,,
謁,15,audience,audience,,,,,,,,
越,12,surpass,cross,move,exceed,Vietnam,,,,,
閲,15,review,inspection,revision,,,,,,,
榎,14,lotus,nettle,hackberry,,,,,,,
厭,14,get,satiate,bore,dislike,disagreeable,unwelcome,,,,
円,4,circle,yen,round,,,,,,,
園,13,park,garden,yard,farm,,,,,,
堰,12,dam,prevent,stop,,,,,,,
奄,8,cover,suffocate,obstruct,,,,,,,
宴,10,banquet,feast,party,,,,,,,
延,8,prolong,stretching,,,,,,,,
怨,9,grudge,show,be,,,,,,,
掩,11,cover,conceal,,,,,,,,
援,12,abet,help,save,,,,,,,
沿,8,run,follow,run,lie,,,,,,
演,14,performance,act,play,render,stage,,,,,
炎,8,inflammation,flame,blaze,,,,,,,
焔,11,flame,blaze,,,,,,,,
煙,13,smoke,,,,,,,,,
燕,16,swallow,,,,,,,,,
猿,13,monkey,,,,,,,,,
縁,15,affinity,relation,connection,edge,border,verge,brink,,,
艶,19,glossy,luster,glaze,polish,charm,colorful,captivating,,,
苑,8,garden,farm,park,,,,,,,
薗,16,garden,yard,farm,,,,,,,
遠,13,distant,far,,,,,,,,
鉛,13,lead,,,,,,,,,
鴛,16,male,,,,,,,,,
塩,13,salt,,,,,,,,,
於,8,at,in,on,as,,,,,,
汚,6,dirty,pollute,disgrace,rape,defile,,,,,
甥,12,nephew,,,,,,,,,
凹,5,concave,hollow,sunken,,,,,,,
央,5,center,middle,,,,,,,,
奥,12,heart,interior,,,,,,,,
往,8,journey,travel,chase,let,going,before,formerly,,,
応,7,apply,answer,yes,OK,reply,accept,,,,
旺,8,flourishing,successful,beautiful,vigorous,,,,,,
横,15,sideways,side,horizontal,width,woof,unreasonable,perverse,,,
欧,8,Europe,,,,,,,,,
殴,8,assault,hit,beat,thrash,,,,,,
王,4,king,rule,magnate,,,,,,,
翁,10,venerable,,,,,,,,,
襖,17,opaque,,,,,,,,,
鴬,16,nightingale,bush,,,,,,,,
鴎,15,seagull,,,,,,,,,
黄,11,yellow,,,,,,,,,
岡,8,mount,hill,knoll,,,,,,,
沖,7,open,offing,rise,,,,,,,
荻,10,reed,rush,,,,,,,,
億,15,hundred,10**8,,,,,,,,
屋,9,roof,house,shop,dealer,seller,,,,,
憶,16,recollection,think,remember,,,,,,,
臆,17,timidity,heart,mind,fear,cowardly,,,,,
桶,11,tub,bucket,,,,,,,,
牡,7,male,,,,,,,,,
乙,1,the,duplicate,strange,witty,fishhook,,,,,
俺,10,I,myself,,,,,,,,
卸,9,wholesale,,,,,,,,,
恩,10,grace,kindness,goodness,favor,mercy,blessing,benefit,,,
温,12,warm,,,,,,,,,
穏,16,calm,quiet,moderation,,,,,,,
音,9,sound,noise,,,,,,,,
下,3,below,down,descend,give,low,inferior,,,,
化,4,change,take,influence,enchant,delude,-ization,,,,
仮,6,sham,temporary,interim,assumed,informal,,,,,
何,7,what,,,,,,,,,
伽,7,nursing,attending,entertainer,,,,,,,
価,8,value,price,,,,,,,,
佳,8,excellent,beautiful,good,pleasing,skilled,,,,,
加,5,add,addition,increase,join,include,Canada,,,,
可,5,can,passable,mustn't,should,do,,,,,
嘉,14,applaud,praise,esteem,happy,auspicious,,,,,
夏,10,summer,,,,,,,,,
嫁,13,marry,bride,,,,,,,,
家,10,house,home,family,professional,expert,performer,,,,
寡,14,widow,minority,few,,,,,,,
科,9,department,course,section,,,,,,,
暇,13,spare,rest,leisure,time,leave,,,,,
果,8,fruit,reward,carry,achieve,complete,end,finish,succeed,,
架,9,erect,frame,mount,support,shelf,construct,,,,
歌,14,song,sing,,,,,,,,
河,8,river,,,,,,,,,
火,4,fire,,,,,,,,,
珂,9,jewel,,,,,,,,,
禍,13,calamity,misfortune,evil,curse,,,,,,
禾,5,two-branch,,,,,,,,,
稼,15,earnings,work,earn,,,,,,,
箇,14,counter,,,,,,,,,
花,7,flower,,,,,,,,,
苛,8,torment,scold,chastise,,,,,,,
茄,8,eggplant,,,,,,,,,
荷,10,baggage,shoulder-pole,bear,shoulder,load,cargo,freight,,,
華,10,splendor,flower,petal,shine,luster,ostentatious,showy,gay,gorgeous,
菓,11,candy,cakes,fruit,,,,,,,
蝦,15,shrimp,prawn,lobster,,,,,,,
課,15,chapter,lesson,section,department,division,counter,,,,
嘩,13,noisy,,,,,,,,,
貨,11,freight,goods,property,,,,,,,
迦,8,(used,,,,,,,,,
過,12,overdo,exceed,go,error,,,,,,
霞,17,be,grow,blurred,,,,,,,
蚊,10,mosquito,,,,,,,,,
俄,9,sudden,abrupt,improvised,,,,,,,
峨,10,high,,,,,,,,,
我,7,ego,I,selfish,our,oneself,,,,,
牙,5,tusk,fang,tusk,,,,,,,
画,8,brush-stroke,picture,,,,,,,,
臥,9,bend,bow,lie,,,,,,,
芽,8,bud,sprout,spear,germ,,,,,,
蛾,13,moth,,,,,,,,,
賀,12,congratulations,joy,,,,,,,,
雅,13,gracious,elegant,graceful,refined,,,,,,
餓,15,starve,hungry,thirst,,,,,,,
駕,15,vehicle,palanquin,litter,hitch,,,,,,
介,4,jammed,shellfish,mediate,concern,,,,,,
会,6,meeting,meet,party,association,interview,join,,,,
解,13,unravel,notes,key,explanation,understanding,untie,undo,solve,answer,cancel
回,6,-times,round,game,revolve,counter,,,,,
塊,13,clod,lump,chunk,clot,mass,,,,,
壊,16,demolition,break,destroy,,,,,,,
廻,9,round,game,revolve,go,circumference,,,,,
快,7,cheerful,pleasant,agreeable,comfortable,,,,,,
怪,8,suspicious,mystery,apparition,,,,,,,
悔,9,repent,regret,,,,,,,,
恢,9,wide,large,enlarge,,,,,,,
懐,16,feelings,heart,yearn,miss,become,bosom,breast,pocket,,
戒,7,commandment,,,,,,,,,
拐,8,kidnap,falsify,,,,,,,,
改,7,reformation,change,modify,mend,renew,examine,inspect,search,,
晦,10,dark,disappear,,,,,,,,
械,11,contraption,fetter,machine,instrument,,,,,,
海,9,sea,ocean,,,,,,,,
灰,6,ashes,puckery,cremate,,,,,,,
界,9,world,boundary,,,,,,,,
皆,9,all,everything,,,,,,,,
絵,12,picture,drawing,painting,sketch,,,,,,
芥,7,mustard,rape,dust,trash,rubbish,,,,,
蟹,19,crab,,,,,,,,,
開,12,open,unfold,unseal,,,,,,,
階,12,storey,stair,counter,,,,,,,
貝,7,shellfish,,,,,,,,,
凱,12,victory,,,,,,,,,
劾,8,censure,criminal,,,,,,,,
外,5,outside,,,,,,,,,
咳,9,cough,clear,,,,,,,,
害,10,harm,injury,,,,,,,,
崖,11,cliff,bluff,precipice,,,,,,,
慨,13,rue,be,sigh,lament,,,,,,
概,14,outline,condition,approximation,generally,,,,,,
涯,11,horizon,shore,limit,bound,,,,,,
碍,13,obstacle,,,,,,,,,
蓋,13,cover,lid,flap,,,,,,,
街,12,boulevard,street,town,,,,,,,
該,13,above-stated,the,that,,,,,,,
鎧,18,put,arm,,,,,,,,
骸,16,bone,body,corpse,,,,,,,
浬,10,knot,nautical,,,,,,,,
馨,20,fragrant,balmy,favourable,,,,,,,
蛙,12,frog,,,,,,,,,
垣,9,hedge,fence,wall,,,,,,,
柿,9,persimmon,,,,,,,,,
蛎,11,oyster,,,,,,,,,
鈎,12,hook,barb,gaff,brackets,,,,,,
劃,14,divide,,,,,,,,,
嚇,17,menacing,dignity,majesty,threaten,,,,,,
各,6,each,every,either,,,,,,,
廓,14,enclosure,quarter,red-light,,,,,,,
拡,8,broaden,extend,expand,enlarge,,,,,,
撹,15,disturb,throw,,,,,,,,
格,10,status,rank,capacity,character,case,grammar),,,,
核,10,nucleus,core,kernel,,,,,,,
殻,11,husk,nut,,,,,,,,
獲,16,seize,get,find,earn,acquire,can,may,able,,
確,15,assurance,firm,tight,hard,solid,confirm,clear,evident,,
穫,18,harvest,reap,,,,,,,,
覚,12,memorize,learn,remember,awake,sober,,,,,
角,7,angle,corner,square,horn,antlers,,,,,
赫,14,suddenly,brighten,illuminate,light,,,,,,
較,13,contrast,compare,,,,,,,,
郭,11,enclosure,quarters,fortification,red-light,,,,,,
閣,14,tower,tall,palace,,,,,,,
隔,13,isolate,alternate,distance,separate,gulf,,,,,
革,9,leather,skin,reform,become,,,,,,
学,8,study,learning,science,,,,,,,
岳,8,point,peak,mountain,,,,,,,
楽,13,music,comfort,ease,,,,,,,
額,18,forehead,tablet,plaque,framed,sum,amount,volume,,,
顎,18,jaw,chin,gill,,,,,,,
掛,11,hang,suspend,depend,arrive,tax,pour,,,,
笠,11,bamboo,one's,,,,,,,,
樫,16,evergreen,(kokuji),,,,,,,,
橿,17,oak,,,,,,,,,
梶,11,sculling,,,,,,,,,
鰍,20,bullhead,,,,,,,,,
潟,15,lagoon,,,,,,,,,
割,12,proportion,comparatively,divide,cut,separate,split,,,,
喝,11,hoarse,scold,,,,,,,,
恰,9,just,as,fortunately,,,,,,,
括,9,fasten,tie,arrest,constrict,,,,,,
活,9,lively,resuscitation,being,living,,,,,,
渇,11,thirst,dry,parch,,,,,,,
滑,13,slippery,slide,slip,fail,,,,,,
葛,11,arrowroot,kudzu,,,,,,,,
褐,13,brown,woollen,,,,,,,,
轄,17,control,wedge,,,,,,,,
且,5,moreover,also,furthermore,,,,,,,
鰹,23,bonito,,,,,,,,,
叶,5,grant,answer,,,,,,,,
椛,11,autumn,birch,maple,(kokuji),,,,,,
樺,14,birch,dark,,,,,,,,
鞄,14,suitcase,bag,briefcase,,,,,,,
株,10,stocks,stump,shares,stock,counter,,,,,
兜,11,helmet,head,,,,,,,,
竃,17,kitchen,furnace,oven,hearth,,,,,,
蒲,13,bullrush,flag,cattail,,,,,,,
釜,10,kettle,cauldron,iron,,,,,,,
鎌,18,sickle,scythe,trick,,,,,,,
噛,15,chew,bite,gnaw,,,,,,,
鴨,16,wild,easy,,,,,,,,
栢,10,oak,,,,,,,,,
茅,8,miscanthus,,,,,,,,,
萱,12,miscanthus,,,,,,,,,
刈,4,reap,cut,clip,trim,prune,,,,,
苅,7,cutting,,,,,,,,,
瓦,5,tile,gram,,,,,,,,
乾,11,drought,dry,dessicate,drink,heaven,emperor,,,,
侃,8,strong,just,righteous,peace-loving,,,,,,
冠,9,crown,best,peerless,,,,,,,
寒,12,cold,,,,,,,,,
刊,5,publish,carve,engrave,,,,,,,
勘,11,intuition,perception,check,compare,sixth,,,,,
勧,13,persuade,recommend,advise,encourage,offer,,,,,
巻,9,scroll,volume,book,part,roll,wind,tie,coil,counter,
喚,12,yell,cry,call,scream,summon,,,,,
堪,12,withstand,endure,support,resist,,,,,,
姦,9,wicked,mischief,seduce,rape,noisy,,,,,
完,7,perfect,completion,end,,,,,,,
官,8,bureaucrat,the,organ,,,,,,,
寛,13,tolerant,leniency,generosity,relax,feel,be,broadminded,,,
干,3,dry,parch,ebb,recede,interfere,intercede,,,,
幹,13,tree,main,talent,capability,,,,,,
患,11,afflicted,disease,suffer,be,,,,,,
感,13,emotion,feeling,sensation,,,,,,,
慣,14,accustomed,get,become,,,,,,,
憾,16,remorse,regret,be,,,,,,,
換,12,interchange,period,change,convert,replace,renew,,,,
敢,12,daring,brave,bold,sad,tragic,pitiful,,,,
柑,9,citrus,orange,,,,,,,,
桓,10,marking,,,,,,,,,
棺,12,coffin,casket,,,,,,,,
款,12,goodwill,article,section,friendship,collusion,,,,,
歓,15,delight,joy,,,,,,,,
汗,6,sweat,perspire,,,,,,,,
漢,13,Sino-,China,,,,,,,,
澗,15,valley,10**36,,,,,,,,
潅,14,pour,irrigate,shed,flow,concentrate,,,,,
環,17,ring,circle,link,wheel,,,,,,
甘,5,sweet,coax,pamper,be,sugary,,,,,
監,15,oversee,official,govt,rule,administer,,,,,
看,9,watch,see,,,,,,,,
竿,9,pole,rod,scale,violin,,,,,,
管,14,pipe,tube,wind,drunken,control,jurisdiction,,,,
簡,18,simplicity,brevity,,,,,,,,
緩,15,slacken,loosen,relax,lessen,be,ease,,,,
缶,6,tin,container,jar,,,,,,,
翰,16,letter,writing,,,,,,,,
肝,7,liver,pluck,nerve,chutzpah,,,,,,
艦,21,warship,,,,,,,,,
莞,10,smiling,reed,,,,,,,,
観,18,outlook,look,appearance,condition,view,,,,,
諌,15,admonish,dissuade,,,,,,,,
貫,11,pierce,8,penetrate,brace,,,,,,
還,16,send,return,,,,,,,,
鑑,23,specimen,take,learn,,,,,,,
間,12,interval,space,,,,,,,,
閑,12,leisure,,,,,,,,,
関,14,connection,barrier,gateway,involve,concerning,,,,,
陥,10,collapse,fall,cave,fall,slide,,,,,
韓,18,Korea,,,,,,,,,
館,16,building,mansion,large,palace,,,,,,
舘,16,mansion,large,palace,,,,,,,
丸,3,round,full,perfection,-ship,pills,make,roll,curl,seduce,explain
含,7,contain,include,hold,bear,understand,cherish,,,,
岸,8,beach,,,,,,,,,
巌,20,rock,crag,boulder,,,,,,,
玩,8,play,take,trifle,make,,,,,,
癌,17,cancer,cancerous,,,,,,,,
眼,11,eyeball,,,,,,,,,
岩,8,boulder,rock,cliff,,,,,,,
翫,15,take,play,,,,,,,,
贋,19,counterfeit,forgery,,,,,,,,
雁,12,wild,,,,,,,,,
頑,13,stubborn,foolish,firmly,,,,,,,
顔,18,face,expression,,,,,,,,
願,19,petition,request,vow,wish,hope,,,,,
企,6,undertake,scheme,design,attempt,plan,,,,,
伎,6,deed,skill,,,,,,,,
危,6,dangerous,fear,uneasy,,,,,,,
喜,12,rejoice,take,,,,,,,,
器,15,utensil,vessel,receptacle,implement,instrument,ability,container,tool,set,
基,11,fundamentals,radical,counter,foundation,,,,,,
奇,8,strange,strangeness,curiosity,,,,,,,
嬉,15,glad,pleased,rejoice,,,,,,,
寄,11,draw,stop,bring,gather,collect,send,forward,,,
岐,7,branch,fork,scene,arena,theater,,,,,
希,7,hope,beg,request,pray,beseech,Greece,dilute,rare,few,phenomenal
幾,12,how,how,how,how,some,several,,,,
忌,7,mourning,abhor,detestable,death,,,,,,
揮,12,brandish,wave,wag,swing,shake,,,,,
机,6,desk,table,,,,,,,,
旗,14,national,banner,standard,,,,,,,
既,10,previously,already,long,,,,,,,
期,12,period,time,date,term,,,,,,
棋,12,chess,Japanese,shogi,,,,,,,
棄,13,abandon,throw,discard,resign,reject,sacrifice,,,,
帰,10,homecoming,arrive,lead,result,,,,,,
毅,15,strong,,,,,,,,,
気,6,spirit,mind,air,atmosphere,mood,,,,,
汽,7,vapor,steam,,,,,,,,
畿,15,capital,suburbs,,,,,,,,
祈,8,pray,wish,,,,,,,,
季,8,seasons,,,,,,,,,
稀,12,rare,phenomenal,dilute,,,,,,,
紀,9,chronicle,account,narrative,history,annals,geologic,,,,
徽,17,good,beautiful,badge,,,,,,,
規,11,standard,measure,,,,,,,,
記,10,scribe,account,narrative,,,,,,,
貴,12,precious,value,prize,esteem,honor,,,,,
起,10,rouse,wake,get,,,,,,,
軌,9,rut,wheel,track,model,way,,,,,
輝,15,radiance,shine,sparkle,gleam,twinkle,,,,,
飢,10,hungry,starve,,,,,,,,
騎,18,equestrian,riding,counter,,,,,,,
鬼,10,ghost,devil,,,,,,,,
亀,11,tortoise,turtle,,,,,,,,
偽,11,falsehood,lie,deceive,pretend,counterfeit,forgery,,,,
儀,15,ceremony,rule,affair,case,a,,,,,
妓,7,stretch,singing,geisha,prostitute,,,,,,
宜,8,best,good,,,,,,,,
戯,15,frolic,play,sport,,,,,,,
技,7,skill,art,craft,ability,feat,performance,vocation,arts,,
擬,17,mimic,aim,nominate,imitate,,,,,,
欺,12,deceit,cheat,delude,,,,,,,
犠,17,sacrifice,,,,,,,,,
疑,14,doubt,distrust,be,question,,,,,,
祇,8,national,peaceful,great,,,,,,,
義,13,righteousness,justice,morality,honor,loyalty,meaning,,,,
蟻,19,ant,,,,,,,,,
誼,15,friendship,intimacy,,,,,,,,
議,20,deliberation,consultation,debate,consideration,,,,,,
掬,11,scoop,,,,,,,,,
菊,11,chrysanthemum,,,,,,,,,
鞠,17,ball,,,,,,,,,
吉,6,good,joy,congratulations,,,,,,,
吃,6,stammer,,,,,,,,,
喫,12,consume,eat,drink,smoke,receive,,,,,
桔,10,used,,,,,,,,,
橘,16,mandarin,,,,,,,,,
詰,13,packed,close,pressed,reprove,rebuke,blame,,,,
砧,10,fulling,,,,,,,,,
杵,8,wooden,,,,,,,,,
黍,12,millet,,,,,,,,,
却,7,instead,on,rather,step,withdraw,retreat,,,,
客,9,guest,visitor,customer,client,,,,,,
脚,11,skids,leg,undercarriage,lower,base,,,,,
虐,9,tyrannize,oppress,,,,,,,,
逆,9,inverted,reverse,opposite,wicked,,,,,,
丘,5,hill,knoll,,,,,,,,
久,3,long,old,,,,,,,,
仇,4,foe,enemy,revenge,grudge,feud,,,,,
休,6,rest,day,retire,sleep,,,,,,
及,3,reach,exert,exercise,cause,,,,,,
吸,6,suck,imbibe,inhale,sip,,,,,,
宮,10,Shinto,constellations,palace,princess,,,,,,
弓,3,bow,bow,violin),,,,,,,
急,9,hurry,emergency,sudden,steep,,,,,,
救,11,salvation,save,help,rescue,reclaim,,,,,
朽,6,decay,rot,remain,,,,,,,
求,7,request,want,wish,require,demand,,,,,
汲,7,draw,ladle,scoop,pump,,,,,,
泣,8,cry,weep,moan,,,,,,,
灸,7,moxa,chastisement,,,,,,,,
球,11,ball,sphere,,,,,,,,
究,7,research,study,,,,,,,,
窮,15,hard,destitute,suffer,perplexed,cornered,,,,,
笈,9,backpack,,,,,,,,,
級,9,class,rank,grade,,,,,,,
糾,9,twist,ask,investigate,verify,,,,,,
給,12,salary,wage,gift,allow,grant,bestow,,,,
旧,5,old,old,old,former,ex-,,,,,
牛,4,cow,,,,,,,,,
去,5,gone,past,quit,leave,elapse,eliminate,divorce,,,
居,8,reside,to,exist,live,,,,,,
巨,5,gigantic,big,large,great,,,,,,
拒,8,repel,refuse,reject,decline,,,,,,
拠,8,foothold,based,follow,therefore,,,,,,
